Name,Comments,X-Key Unit Number,Shift Flag,Key,Logic Dataref,Float Scale Factor,Bank 1 On,Bank 1 Blink,Bank 2 On,Bank 2 Blink,Command Logic Test,False (Default) Command,True Command,False (Default) Speech,True Speech,Numeric Dataref,Multiply By,Min,Max,Increment,Numeric Speech
BARO UP,,,,0,,,1,,,,,,,,,SRS/X-KeyPad/SharedInt[0],,2500,3400,,Altimeter set to [N] inches of mercury
BARO DOWN,,,,1,,,1,,,,,,,,,SRS/X-KeyPad/SharedInt[0],,2500,3400,,Altimeter set to [N] inches of mercury
STD,,,,2,1-sim/ng/baro/std/L,,<1,,>0,,,,,,,1-sim/ng/baro/std/L,,0,1,wrap,
NAV1,,,,3,,,1,,,,,,,,,sim/cockpit/radios/nav1_freq_hz,100,,,,NAV 1 Set to [n] Mega Hertz
NAV2,,,,4,,,1,,,,,,,,,sim/cockpit/radios/nav2_freq_hz,100,,,,NAV 2 Set to [n] Mega Hertz
COM1,,,,5,sim/cockpit2/radios/actuators/audio_selection_com1,,!1,,1,,,sim/audio_panel/monitor_audio_com1,,,,sim/cockpit/radios/com1_freq_hz,100,,,,COM 1 Set to [n] Mega Hertz
COM2,,,,6,sim/cockpit2/radios/actuators/audio_selection_com2,,<1,,>0,,,sim/audio_panel/monitor_audio_com2,,,,sim/cockpit/radios/com2_freq_hz,100,,,,COM 2 Set to [n] Mega Hertz
PLAN,,,,7,,,,,,,,BetterPushback/start_planner,,,,sim/cockpit/radios/nav1_stdby_freq_hz,100,,,,NAV 1 Stand By Set to [n] Mega Hertz
NAV1 XFR,,,,11,,,1,,,,,sim/radios/nav1_standy_flip,,,,sim/cockpit/radios/nav1_stdby_freq_hz,100,,,,NAV 1 Stand By Set to [n] Mega Hertz
NAV2 XFR,,,,12,,,1,,,,,sim/radios/nav2_standy_flip,,,,sim/cockpit/radios/nav2_stdby_freq_hz,100,,,,NAV 2 Stand By Set to [n] Mega Hertz
COM1 XFR,,,,13,,,1,,,,,sim/radios/com1_standy_flip,,,,sim/cockpit/radios/com1_stdby_freq_hz,100,,,,COM 1 Stand By Set to [n] Mega Hertz
COM2 XFR,,,,14,,,1,,,,,sim/radios/com2_standy_flip,,,,sim/cockpit/radios/com2_stdby_freq_hz,100,,,,COM 2 Stand By Set to [n] Mega Hertz
PUSH,,,,15,,,,,,,,BetterPushback/start,,,,sim/cockpit/radios/nav1_stdby_freq_hz,100,,,,NAV 1 Stand By Set to [n] Mega Hertz
CRS1,,,,16,,,1,,,,,,,,,SRS/X-KeyPad/SharedInt[5],,0,360,,
CRS1 UP,,,,17,,,1,,,,,,,,,SRS/X-KeyPad/SharedInt[1],,0,1,wrap,
CRS1 DOWN,,,,18,,,1,,,,,,,,,SRS/X-KeyPad/SharedInt[2],,0,1,wrap,
ADF1,,,,21,,,0,,0,,,,,,,,,,,,
ADF2,,,1,21,,,0,,0,,,,,,,,,,,,
XPDR,,,,22,,,,,,,,,,,,sim/cockpit/radios/transponder_code,,0,9999,,
STOP,,,,23,,,,,,,,BetterPushback/disconnect,,,,sim/cockpit/radios/nav1_stdby_freq_hz,100,,,,NAV 1 Stand By Set to [n] Mega Hertz
SPD,,,,24,,,1,,,,,,,,,757Avionics/ap/spd_act,,100,400,,
SPD UP,,,,25,,,1,,,,,1-sim/comm/AP/spdUP,,,,,,,,,
SPD DOWN,,,,26,,,1,,,,,1-sim/comm/AP/spdDN,,,,,,,,,
FMC,,,,30,,,1,,,,,1-sim/command/cduL/popupToggle_button,,,,,,,,,
MENU,,,,31,,,1,,,,,1-sim/comm/menu,,,,,,,,,
HDG,,,,32,,,1,,,,,,,,,757Avionics/ap/hdg_act,,0,359,,
HDG UP,,,,33,,,1,,,,,1-sim/comm/AP/hdgUP,,,,,,,,,
HDG DOWN,,,,34,,,1,,,,,1-sim/comm/AP/hdgDN,,,,,,,,,
HDG SYNC,,,,35,,,0,,,,,,,,,,,,,,
TAB,,,,38,,,1,,,,,1-sim/comm/menu,,,,,,,,,
ATC,,,,39,,,1,,,,,SRS/X-ATC-Chatter/Toggle_Nearby_Facilities,,,,,,,,,
ALT,,,,40,,,1,,,,,,,,,757Avionics/ap/alt_act,,0,48000,,Altitude set to [n] feet
ALT UP,,,,41,,,1,,,,,1-sim/comm/AP/altUP,,,,757Avionics/ap/alt_act,,0,48000,wrap,
ALT DOWN,,,,42,,,1,,,,,1-sim/comm/AP/altDN,,,,757Avionics/ap/alt_act,,0,48000,wrap,
VS,,,,48,,,1,,,,,,,,,757Avionics/ap/vs_act,,-2500,2500,,
VS Plus,,,,49,,,1,,,,,1-sim/comm/AP/vviUP,,,,757Avionics/ap/vs_act,,-2500,2500,,
VS Minus,,,,50,,,1,,,,,1-sim/comm/AP/vviDN,,,,757Avionics/ap/vs_act,,-2500,2500,,
CRS2,,,,56,,,1,,,,,,,,,sim/cockpit/radios/nav2_obs_degm,,0,359,,
CRS2 UP,,,,57,,,1,,,,,,,,,SRS/X-KeyPad/SharedInt[3],,0,1,wrap,
CRS2 DOWN,,,,58,,,1,,,,,,,,,SRS/X-KeyPad/SharedInt[4],,0,1,wrap,
7,,,,60,,,,,1,,,SRS/X-KeyPad/Keypad_7,,,,,,,,,
7,,,1,60,,,,,1,,,SRS/X-KeyPad/Keypad_7,,,,,,,,,
4,,,,61,,,,,1,,,SRS/X-KeyPad/Keypad_4,,,,,,,,,
4,,,1,61,,,,,1,,,SRS/X-KeyPad/Keypad_4,,,,,,,,,
1,,,,62,,,,,1,,,SRS/X-KeyPad/Keypad_1,,,,,,,,,
1,,,1,62,,,,,1,,,SRS/X-KeyPad/Keypad_1,,,,,,,,,
Minus,,,,63,,,,,1,,,SRS/X-KeyPad/Keypad_Minus,,,,,,,,,
Minus,,,1,63,,,,,1,,,SRS/X-KeyPad/Keypad_Minus,,,,,,,,,
CLR,,,,75,,,,,1,,,SRS/X-KeyPad/Keypad_Clear,,,,,,,,,
CLR,,,1,75,,,,,1,,,SRS/X-KeyPad/Keypad_Clear,,,,,,,,,
8,,,,68,,,,,1,,,SRS/X-KeyPad/Keypad_8,,,,,,,,,
8,,,1,68,,,,,1,,,SRS/X-KeyPad/Keypad_8,,,,,,,,,
5,,,,69,,,,,1,,,SRS/X-KeyPad/Keypad_5,,,,,,,,,
5,,,1,69,,,,,1,,,SRS/X-KeyPad/Keypad_5,,,,,,,,,
2,,,,70,,,,,1,,,SRS/X-KeyPad/Keypad_2,,,,,,,,,
2,,,1,70,,,,,1,,,SRS/X-KeyPad/Keypad_2,,,,,,,,,
0,,,,71,,,,,1,,,SRS/X-KeyPad/Keypad_0,,,,,,,,,
0,,,1,71,,,,,1,,,SRS/X-KeyPad/Keypad_0,,,,,,,,,
SHIFT,,,,72,,,1,,,,,SRS/X-KeyPad/Toggle_Shift,,,,,,,,,
SHIFT,,,1,72,,,1,,,,,SRS/X-KeyPad/Toggle_Shift,,,,,,,,,
LS,,,,73,,,,,=1,,,,,,,,,0,1,wrap,I L S On[=1]
9,,,,76,,,,,1,,,SRS/X-KeyPad/Keypad_9,,,,,,,,,
9,,,1,76,,,,,1,,,SRS/X-KeyPad/Keypad_9,,,,,,,,,
6,,,,77,,,,,1,,,SRS/X-KeyPad/Keypad_6,,,,,,,,,
6,,,1,77,,,,,1,,,SRS/X-KeyPad/Keypad_6,,,,,,,,,
3,,,,78,,,,,1,,,SRS/X-KeyPad/Keypad_3,,,,,,,,,
3,,,1,78,,,,,1,,,SRS/X-KeyPad/Keypad_3,,,,,,,,,
.,,,,79,,,,,1,,,SRS/X-KeyPad/Keypad_Decimal,,,,,,,,,
.,,,1,79,,,,,1,,,SRS/X-KeyPad/Keypad_Decimal,,,,,,,,,
