Name,Comments,X-Key Unit Number,Shift Flag,Key,Logic Dataref,Float Scale Factor,Bank 1 On,Bank 1 Blink,Bank 2 On,Bank 2 Blink,Command Logic Test,False (Default) Command,True Command,False (Default) Speech,True Speech,Numeric Dataref,Multiply By,Min,Max,Increment,Numeric Speech
ATC,,,,39,,,1,,,,,SRS/X-ATC-Chatter/Toggle_Nearby_Facilities,,,,,,,,,
7,,,,60,,,,,1,,,SRS/X-KeyPad/Keypad_7,,,,,,,,,
7,,,1,60,,,,,1,,,SRS/X-KeyPad/Keypad_7,,,,,,,,,
4,,,,61,,,,,1,,,SRS/X-KeyPad/Keypad_4,,,,,,,,,
4,,,1,61,,,,,1,,,SRS/X-KeyPad/Keypad_4,,,,,,,,,
1,,,,62,,,,,1,,,SRS/X-KeyPad/Keypad_1,,,,,,,,,
1,,,1,62,,,,,1,,,SRS/X-KeyPad/Keypad_1,,,,,,,,,
Minus,,,,63,,,,,1,,,SRS/X-KeyPad/Keypad_Minus,,,,,,,,,
Minus,,,1,63,,,,,1,,,SRS/X-KeyPad/Keypad_Minus,,,,,,,,,
CLR,,,,75,,,,,1,,,SRS/X-KeyPad/Keypad_Clear,,,,,,,,,
CLR,,,1,75,,,,,1,,,SRS/X-KeyPad/Keypad_Clear,,,,,,,,,
8,,,,68,,,,,1,,,SRS/X-KeyPad/Keypad_8,,,,,,,,,
8,,,1,68,,,,,1,,,SRS/X-KeyPad/Keypad_8,,,,,,,,,
5,,,,69,,,,,1,,,SRS/X-KeyPad/Keypad_5,,,,,,,,,
5,,,1,69,,,,,1,,,SRS/X-KeyPad/Keypad_5,,,,,,,,,
2,,,,70,,,,,1,,,SRS/X-KeyPad/Keypad_2,,,,,,,,,
2,,,1,70,,,,,1,,,SRS/X-KeyPad/Keypad_2,,,,,,,,,
0,,,,71,,,,,1,,,SRS/X-KeyPad/Keypad_0,,,,,,,,,
0,,,1,71,,,,,1,,,SRS/X-KeyPad/Keypad_0,,,,,,,,,
SHIFT,,,,72,,,1,,,,,SRS/X-KeyPad/Toggle_Shift,,,,,,,,,
SHIFT,,,1,72,,,1,,,,,SRS/X-KeyPad/Toggle_Shift,,,,,,,,,
9,,,,76,,,,,1,,,SRS/X-KeyPad/Keypad_9,,,,,,,,,
9,,,1,76,,,,,1,,,SRS/X-KeyPad/Keypad_9,,,,,,,,,
6,,,,77,,,,,1,,,SRS/X-KeyPad/Keypad_6,,,,,,,,,
6,,,1,77,,,,,1,,,SRS/X-KeyPad/Keypad_6,,,,,,,,,
3,,,,78,,,,,1,,,SRS/X-KeyPad/Keypad_3,,,,,,,,,
3,,,1,78,,,,,1,,,SRS/X-KeyPad/Keypad_3,,,,,,,,,
.,,,,79,,,,,1,,,SRS/X-KeyPad/Keypad_Decimal,,,,,,,,,
.,,,1,79,,,,,1,,,SRS/X-KeyPad/Keypad_Decimal,,,,,,,,,
