Name,Comments,X-Key Unit Number,Shift Flag,Key,Logic Dataref,Float Scale Factor,Bank 1 On,Bank 1 Blink,Bank 2 On,Bank 2 Blink,Command Logic Test,False (Default) Command,True Command,False (Default) Speech,True Speech,Numeric Dataref,Multiply By,Min,Max,Increment,Numeric Speech
#include common.csv,,,,,,,,,,,,,,,,,,,,,
#include radios_nav.csv,,,,,,,,,,,,,,,,,,,,,
#include avitab.csv,,,,,,,,,,,,,,,,,,,,,
#include pushback.csv,,,,,,,,,,,,,,,,,,,,,
AP,,,,0,AirbusFBW/AP1Engage,,=0,,=1,,,toliss_airbus/ap1_push,,,,,,,,,
Ident,,,,30,AirbusFBW/XPDRPower,,=0,,>0,,,,,,,SRS/X-KeyPad/SharedInt[1],,0,7777,,Transponder set to [N]
XPDR Mode,,,1,30,AirbusFBW/XPDRPower,,=0,,>0,,,A319/transponder_Mode,,Transponder Mode changed,,AirbusFBW/XPDRPower,,,,,
Gear,,,,7,AirbusFBW/NoseGearPos,,=1,,<1,,,sim/flight_controls/landing_gear_toggle,,,,,,,,,
FD,,,,8,AirbusFBW/FD1Engage,,=1,,=0,,3,toliss_airbus/fd1_push,toliss_airbus/fd1_push,Flight Director On,Flight Director Off,,,,,,
ATHR,,,,9,AirbusFBW/ATHRmode,,>0,,,=0,,AirbusFBW/ATHRbutton,,,,,,,,,
Parking brakes,,,,15,sim/cockpit2/controls/parking_brake_ratio,,!1,,1,,1,toliss_airbus/park_brake_toggle,toliss_airbus/park_brake_toggle,Brakes On,Brakes Off,,,,,,
Warn,,,,22,AirbusFBW/MasterWarn,,=0,,,>1,,sim/annunciator/clear_master_warning,,,,,,,,,
Auto Brake,,,,23,,,,,,,,,,,,SRS/X-KeyPad/SharedInt[0],,0,1,wrap,
Auto Brake Off,,,1,23,,,0,0,0,0,1,AirbusFBW/AbrkLo;AirbusFBW/AbrkLo,,Autobrakes off,,,,,,,
HDG,,,,16,,,,,,,,AirbusFBW/PushHDGSel,,Heading Managed Mode,,sim/cockpit2/autopilot/heading_dial_deg_mag_pilot,,0,360,,Heading set to [N] degrees
HDG,,,1,16,,,,,,,,AirbusFBW/PullHDGSel,,Heading Select Mode,,sim/cockpit2/autopilot/heading_dial_deg_mag_pilot,,0,360,,Heading set to [N] degrees
,,,,,,,,,,,,,,,,,,,,,
HDG SYNC,,,,17,,,1,,,,,sim/autopilot/heading_sync,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ALT,,,,24,,,1,,,,,AirbusFBW/PushAltitude,,Altitude Managed Mode,,sim/cockpit/autopilot/altitude,,,,,Altitude set to [n] feet
ALT Pull,,,1,24,,,1,,,,,AirbusFBW/PullAltitude,,Altitude Select Mode,,sim/cockpit/autopilot/altitude,,,,,Altitude set to [n] feet
ALT Down,,,,25,,,1,,,,,,,,,SRS/X-KeyPad/SharedInt[4],,0,1,wrap,
ALT Step 100/1000,,,1,25,,,,,,,,,,,,AirbusFBW/ALT100_1000,,0,1,wrap,
ALT Up,,,,33,,,1,,,,,,,,,SRS/X-KeyPad/SharedInt[5],,0,1,wrap,
ALT Step 100/1000,,,1,33,,,,,,,,,,,,AirbusFBW/ALT100_1000,,0,1,wrap,
HDG DOWN,,,,26,,,,,1,,,*sim/autopilot/heading_down,,,,,,,,,
ND Mode Up,,,,58,,,1,,,,,A319/inc_ND_mode,,,,,,,,,
ND Mode Down,,,1,58,,,1,,,,,A319/dec_ND_mode,,,,,,,,,
TERR,,,,66,,,=0,,=1,,,,,,,AirbusFBW/TerrainSelectedND1,,0,1,up-down,
HDG UP,,,,34,,,,,1,,,*sim/autopilot/heading_up,,,,,,,,,
SPD,,,,41,,,,,,,,toliss_airbus/spd_push,,Speed Managed Mode,,sim/cockpit/autopilot/airspeed,,100,399,,Speed set to [n]
SPD Pull,,,1,41,,,,,,,,toliss_airbus/spd_pull,,Speed Select Mode,,,,,,,
SPD Down,,,,42,,,1,,,,,,,,,SRS/X-KeyPad/SharedInt[2],,0,1,wrap,
SPD Up,,,,50,,,1,,,,,,,,,SRS/X-KeyPad/SharedInt[3],,0,1,wrap,
RNG Plus,,,,59,,,1,,,,,A319/inc_ND_range,,,,,,,,,
RNG Minus,,,,51,,,1,,,,,A319/dec_ND_range,,,,,,,,,
Baro,,,,14,,,1,,,,,,,,,sim/cockpit2/gauges/actuators/barometer_setting_in_hg_pilot;sim/cockpit2/gauges/actuators/barometer_setting_in_hg_copilot,0.01,,,,Altimeter set to [N] inches of mercury
Baro STD,,,1,14,AirbusFBW/BaroStdCapt,,=0,,=1,,,,,,,AirbusFBW/BaroStdCapt;AirbusFBW/BaroStdFO,,0,1,wrap,Standard Altimeter[=1]
MENU,,,,31,,,,,,,,toliss_airbus/iscs_open,,,,,,,,,
VS,,,,48,,,,,,,,AirbusFBW/PushVSSel,,Vertical Speed Managed Mode,,sim/cockpit/autopilot/vertical_velocity,,,,,Vertical Speed to [n] feet per minute
